strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/NJ-CDC-LC0570957/2022	3/28/22		1.35	202213	One month ago	BA.2	USA	North America	New Jersey		Homo sapiens	ON247550	25	21L (Omicron)	0	Howard et al BO		CDC-OAMD	Laboratory Corporation of America	6.36
USA/NM-CDC-LC0589066/2022	4/10/22		1.35	202215	One week ago	BA.2	USA	North America	New Mexico		Homo sapiens	ON394912	25	21L (Omicron)	0.02	Howard et al BP		CDC-OAMD	Laboratory Corporation of America	6.36
USA/SC-CDC-QDX34836314/2022	3/14/22		1.35	202211	Older	BA.2	USA	North America	South Carolina		Homo sapiens	ON084696	25	21L (Omicron)	0	Howard et al BQ		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/RI-CDC-LC0575162/2022	3/21/22		1.35	202212	One month ago	BA.2	USA	North America	Rhode Island		Homo sapiens	ON294485	25	21L (Omicron)	0	Howard et al BR		CDC-OAMD	Laboratory Corporation of America	6.36
USA/TN-CDC-ASC210849919/2022	4/1/22		1.35	202213	One month ago	BA.2	USA	North America	Tennessee		Homo sapiens	ON236480	25	21L (Omicron)	0.01	Howard et al BS		CDC-OAMD	Aegis Sciences Corporation	6.36
USA/OK-CDC-QDX36018362/2022	4/15/22		1.35	202215	One week ago	BA.2	USA	North America	Oklahoma		Homo sapiens	ON393481	25	21L (Omicron)	0.04	Howard et al BT		CDC-OAMD	Quest Diagnostics Incorporated	6.36
USA/MN-CDC-IBX622352676438/2021	12/29/21		1.25	202152	Older	BA.1.20	USA	North America	Minnesota		Homo sapiens	OM289367	27	21K (Omicron)		Howard et al BU		CDC-OAMD	Infinity Biologix	
USA/MD-CDC-ASC210699759/2022	2/11/22		1.26	202206	Older	BA.1.20	USA	North America	Maryland		Homo sapiens	OM834279	27	21K (Omicron)		Howard et al BV		CDC-OAMD	Aegis Sciences Corporation	
USA/FL-CDC-STM-9A8FNW5QX/2022	1/26/22		1.27	202204	Older	BA.1.20	USA	North America	Florida		Homo sapiens	OM686556	27	21K (Omicron)		Howard et al BW		CDC-OAMD	'Helix'	
USA/WI-CDC-FG-244231/2022	1/9/22		1.27	202202	Older	BA.1.20	USA	North America	Wisconsin		Homo sapiens	OM445983	27	21K (Omicron)		Howard et al BX		CDC-OAMD	Fulgent Genetics	
USA/MI-CDC-ASC210593536/2022	1/16/22		1.28	202203	Older	BA.1.20	USA	North America	Michigan		Homo sapiens	OM518185	27	21K (Omicron)		Howard et al BY		CDC-OAMD	Aegis Sciences Corporation	
USA/TX-CDC-ASC210693258/2022	2/4/22		1.27	202205	Older	BA.1.20	USA	North America	Texas		Homo sapiens	OM767399	27	21K (Omicron)		Howard et al BZ		CDC-OAMD	Aegis Sciences Corporation	
USA/WI-CDC-LC0468820/2021	12/30/21		1.27	202152	Older	BA.1.20	USA	North America	Wisconsin		Homo sapiens	OM357656	27	21K (Omicron)		Howard et al CA		CDC-OAMD	Laboratory Corporation of America	
USA/V03446/2022	2/8/22		1.31	202206	Older	BA.1.17.2	USA	North America	Arkansas		Homo sapiens	ON157445	27	21K (Omicron)		Boyanton et al A		University of Arkansas Medical Sciences/Arkansas Children's Hospital	University of Arkansas for Medical Sciences	
USA/LA-CDC-STM-Q44Z7QWN2/2022	1/5/22		1.28	202201	Older	BA.1.15	USA	North America	Louisiana		Homo sapiens	OM354585	27	21K (Omicron)		Howard et al CB		CDC-OAMD	'Helix'	
USA/GA-CDC-LC0481285/2022	1/14/22		1.28	202202	Older	BA.1.15	USA	North America	Georgia		Homo sapiens	OM413543	27	21K (Omicron)		Howard et al CC		CDC-OAMD	Laboratory Corporation of America	
USA/FL-CDC-LC0449236/2021	12/28/21		1.28	202152	Older	BA.1.15	USA	North America	Florida		Homo sapiens	OM226040	27	21K (Omicron)		Howard et al CD				
USA/CA-CDC-FG-198485/2021	12/16/21		1.28	202150	Older	BA.1.15	USA	North America	California		Homo sapiens	OM013367	27	21K (Omicron)		Howard et al CE		CDC-OAMD	Fulgent Genetics	
USA/MI-CDC-STM-HAPUT35JK/2022	1/5/22		1.28	202201	Older	BA.1.15	USA	North America	Michigan		Homo sapiens	OM354704	27	21K (Omicron)		Howard et al CF		CDC-OAMD	'Helix'	
USA/HI-CDC-ASC210652512/2022	2/7/22		1.28	202206	Older	BA.1.15	USA	North America	Hawaii		Homo sapiens	OM727771	27	21K (Omicron)		Howard et al CG		CDC-OAMD	Aegis Sciences Corporation	
USA/MS-CDC-ASC210730837/2022	3/1/22		1.28	202209	Older	BA.1.15	USA	North America	Mississippi		Homo sapiens	OM969431	27	21K (Omicron)	0	Howard et al CH		CDC-OAMD	Aegis Sciences Corporation	-4.84
USA/WI-CDC-STM-K8RD3PEXN/2021	12/29/21		1.27	202152	Older	BA.1	USA	North America	Wisconsin		Homo sapiens	OM196132	27	21K (Omicron)		Howard et al CI		CDC-OAMD	'Helix'	
USA/NY-CDC-FG-194186/2021	12/9/21		1.24	202149	Older	BA.1	USA	North America	New York		Homo sapiens	OL986634	26	21K (Omicron)		Howard et al CJ		CDC-OAMD	Fulgent Genetics	
USA/KS-CDC-LC0459688/2021	12/23/21		1.27	202151	Older	BA.1	USA	North America	Kansas		Homo sapiens	OM355712	27	21K (Omicron)		Howard et al CK				
USA/VT-CDC-ASC210598128/2022	1/11/22		1.24	202202	Older	BA.1	USA	North America	Vermont		Homo sapiens	OM398956	26	21K (Omicron)		Howard et al CL				
USA/CA-CDC-FG-272710/2022	2/10/22		1.26	202206	Older	BA.1	USA	North America	California		Homo sapiens	OM763240	27	21K (Omicron)		Howard et al CM		CDC-OAMD	Fulgent Genetics	
USA/CA-CDC-STM-8NH7J6JYU/2021	12/21/21		1.27	202151	Older	BA.1	USA	North America	California		Homo sapiens	OM140183	27	21K (Omicron)		Howard et al CN		CDC-OAMD	'Helix'	
USA/SC-CDC-LC0450394/2021	12/29/21		1.27	202152	Older	BA.1	USA	North America	South Carolina		Homo sapiens	OM226996	27	21K (Omicron)		Howard et al CO		CDC-OAMD	Laboratory Corporation of America	
USA/NMDOH-2022002914/2022	1/3/22		1.27	202201	Older	BA.1.18	USA	North America	New Mexico		Homo sapiens	OM876812	27	21K (Omicron)		Johnson et al A		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
USA/NH-CDC-LC0491092/2022	1/9/22		1.34	202202	Older	BA.1.1.10	USA	North America	New Hampshire	BA.1.1	Homo sapiens	OM494570	29	21K (Omicron)		Howard et al CP		CDC-OAMD	Laboratory Corporation of America	
USA/AL-CDC-ASC210642633/2021	12/23/21		1.3	202151	Older	BA.1.1.18	USA	North America	Alabama	BA.1.1	Homo sapiens	OM198559	28	21K (Omicron)		Howard et al CQ		CDC-OAMD	Aegis Sciences Corporation	
USA/VA-CDC-ASC210694437/2022	2/7/22		1.3	202206	Older	BA.1.1.18	USA	North America	Virginia	BA.1.1	Homo sapiens	OM727817	28	21K (Omicron)		Howard et al CR		CDC-OAMD	Aegis Sciences Corporation	
USA/MO-CDC-QDX32456707/2021	12/30/21		1.3	202152	Older	BA.1.1.18	USA	North America	Missouri	BA.1.1	Homo sapiens	OM310397	28	21K (Omicron)		Howard et al CS		CDC-OAMD	Quest Diagnostics Incorporated	
USA/TG1183480/2022	2/8/22		1.3	202206	3-7 days ago	BA.1.1.18	USA	North America	Arizona	BA.1.1	Homo sapiens	ON425790	28	21K (Omicron)		Bowers et al B				
USA/MT-CDC-LC0538125/2022	2/13/22		1.3	202207	Older	BA.1.1	USA	North America	Montana	BA.1.1	Homo sapiens	OM790018	28	21K (Omicron)		Howard et al CT		CDC-OAMD	Laboratory Corporation of America	
USA/NJ-CDC-ASC210570407/2021	12/27/21		1.31	202152	Older	BA.1.1	USA	North America	New Jersey	BA.1.1	Homo sapiens	OM261057	28	21K (Omicron)		Howard et al CU		CDC-OAMD	Aegis Sciences Corporation	
USA/NJ-CDC-LC0508532/2022	1/26/22		1.31	202204	Older	BA.1.1	USA	North America	New Jersey	BA.1.1	Homo sapiens	OM626920	28	21K (Omicron)		Howard et al CV		CDC-OAMD	Laboratory Corporation of America	
USA/AZ-CDC-LC0551280/2022	2/14/22		1.3	202207	Older	BA.1.1	USA	North America	Arizona	BA.1.1	Homo sapiens	OM940190	28	21K (Omicron)		Howard et al CW		CDC-OAMD	Laboratory Corporation of America	
USA/DE-CDC-ASC210733313/2022	3/9/22		1.3	202210	Older	BA.1.1	USA	North America	Delaware	BA.1.1	Homo sapiens	ON046922	28	21K (Omicron)	0	Howard et al CX		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/SC-CDC-ASC210724948/2022	4/8/22		1.29	202214	One month ago	BA.1.1	USA	North America	South Carolina	BA.1.1	Homo sapiens	ON309943	28	21K (Omicron)	0.02	Howard et al CY		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/RI-CDCBI-RIDOH_4NUCB7XXYZTHPV7O/2022	2/9/22		1.3	202206	Older	BA.1.1	USA	North America	Rhode Island	BA.1.1	Homo sapiens	OM916407	28	21K (Omicron)		Lemieux et al D		Broad Institute Genomic Center for Infectious Diseases	Rhode Island Department of Health	
USA/WA-S17287/2022	1/11/22		1.3	202202	Older	BA.1.1	USA	North America	Washington	BA.1.1	Homo sapiens	OM538507	28	21K (Omicron)		Nickerson et al D		Seattle Flu Study submission group	Seattle Flu Study	
USA/KY-CDC-LC0543761/2022	2/9/22		1.29	202206	Older	BA.1.1	USA	North America	Kentucky	BA.1.1	Homo sapiens	OM871793	28	21K (Omicron)		Howard et al CZ		CDC-OAMD	Laboratory Corporation of America	
USA/WV-CDC-LC0530312/2022	1/25/22		1.3	202204	Older	BA.1.1	USA	North America	West Virginia	BA.1.1	Homo sapiens	OM736900	28	21K (Omicron)		Howard et al DA		CDC-OAMD	Laboratory Corporation of America	
USA/JW5700/2022	4/8/22		1.3	202214	One month ago	BA.1.1	USA	North America	North Carolina	BA.1.1	Homo sapiens	ON323699	28	21K (Omicron)	0.02	Wang et al B				-3.63
USA/SC-CDC-MMB13660360/2022	1/19/22		1.3	202203	Older	BA.1.1	USA	North America	South Carolina	BA.1.1	Homo sapiens	OM645993	28	21K (Omicron)		Howard et al DB		CDC-OAMD	Mako Medical	
USA/NM-CDC-LC0589447/2022	4/14/22		1.29	202215	One week ago	BA.1.1	USA	North America	New Mexico	BA.1.1	Homo sapiens	ON395418	28	21K (Omicron)	0.04	Howard et al DC		CDC-OAMD	Laboratory Corporation of America	-3.63
USA/OH-CDC-FG-237806/2022	1/4/22		1.3	202201	Older	BA.1.1	USA	North America	Ohio	BA.1.1	Homo sapiens	OM306797	28	21K (Omicron)		Howard et al DD		CDC-OAMD	Fulgent Genetics	
USA/22U036MD00039_2-23-2022/2022	2/5/22		1.3	202205	Older	BA.1.1	USA	North America	Arkansas	BA.1.1	Homo sapiens	OM831500	28	21K (Omicron)		Harley et al		University of Arkansas Medical Sciences/Arkansas Children's Hospital	University of Arkansas for Medical Sciences	
USA/PR-CDC-FG-215414/2021	12/23/21		1.3	202151	Older	BA.1.1	USA	North America	Puerto Rico	BA.1.1	Homo sapiens	OM118635	28	21K (Omicron)		Howard et al DE		CDC-OAMD	Fulgent Genetics	
USA/NM-CDC-LC0475988/2022	1/5/22		1.3	202201	Older	BA.1.1	USA	North America	New Mexico	BA.1.1	Homo sapiens	OM344777	29	21K (Omicron)		Howard et al DF		CDC-OAMD	Laboratory Corporation of America	
USA/SC-CDC-ASC210859685/2022	2/16/22		1.32	202207	Older	BA.1.1	USA	North America	South Carolina	BA.1.1	Homo sapiens	OM862575	29	21K (Omicron)		Howard et al DG		CDC-OAMD	Aegis Sciences Corporation	
USA/CA-CDC-LC0562276/2022	3/8/22		1.32	202210	Older	BA.1.1	USA	North America	California	BA.1.1	Homo sapiens	ON048564	28	21K (Omicron)	0	Howard et al DH		CDC-OAMD	Laboratory Corporation of America	-3.63
USA/OH-CDC-MMB12566107/2021	12/29/21		1.3	202152	Older	BA.1.1	USA	North America	Ohio	BA.1.1	Homo sapiens	OM413967	28	21K (Omicron)		Howard et al DI		CDC-OAMD	Mako Medical	
USA/OH-CDC-LC0525147/2022	1/24/22		1.3	202204	Older	BA.1.1	USA	North America	Ohio	BA.1.1	Homo sapiens	OM692617	28	21K (Omicron)		Howard et al DJ		CDC-OAMD	Laboratory Corporation of America	
USA/UNKNOWN-UW-22032292700/2022	3/22/22		1.32	202212	One week ago	BA.1.1	USA	North America		BA.1.1	Homo sapiens	ON380905	29	21K (Omicron)	0	Roychoudhury et al H				-3.63
USA/NC-CDC-MMB14417963/2022	2/17/22		1.3	202207	Older	BA.1.1	USA	North America	North Carolina	BA.1.1	Homo sapiens	OM979730	28	21K (Omicron)		Howard et al DK		CDC-OAMD	Mako Medical	
USA/OK-CDC-QDX34992926/2022	3/16/22		1.31	202211	Older	BA.1.1	USA	North America	Oklahoma	BA.1.1	Homo sapiens	ON118091	28	21K (Omicron)	0	Howard et al DL		CDC-OAMD	Quest Diagnostics Incorporated	-3.63
USA/ID-CDC-LC0455242/2021	12/31/21		1.3	202152	Older	BA.1.1	USA	North America	Idaho	BA.1.1	Homo sapiens	OM271768	28	21K (Omicron)		Howard et al DM		CDC-OAMD	Laboratory Corporation of America	
USA/NV-CDC-QDX33787646/2022	2/12/22		1.31	202206	Older	BA.1.1	USA	North America	Nevada	BA.1.1	Homo sapiens	OM811187	28	21K (Omicron)		Howard et al DN		CDC-OAMD	Quest Diagnostics Incorporated	
USA/MT-CDC-ASC210547133/2022	1/28/22		1.3	202204	Older	BA.1.1	USA	North America	Montana	BA.1.1	Homo sapiens	OM644103	28	21K (Omicron)		Howard et al DO		CDC-OAMD	Aegis Sciences Corporation	
USA/CA-CDC-FG-257998/2022	1/29/22		1.29	202204	Older	BA.1.1	USA	North America	California	BA.1.1	Homo sapiens	OM620130	28	21K (Omicron)		Howard et al DP		CDC-OAMD	Fulgent Genetics	
USA/MT-CDC-ASC210683361/2022	1/24/22		1.29	202204	Older	BA.1.1	USA	North America	Montana	BA.1.1	Homo sapiens	OM561450	28	21K (Omicron)		Howard et al DQ		CDC-OAMD	Aegis Sciences Corporation	
USA/OK-CDC-ASC210846080/2022	3/18/22		1.29	202211	Older	BA.1.1	USA	North America	Oklahoma	BA.1.1	Homo sapiens	ON143823	28	21K (Omicron)	0	Howard et al DR		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/WV129817/2022	1/24/22		1.3	202204	Older	BA.1.1	USA	North America	West Virginia	BA.1.1	Homo sapiens	ON029894	28	21K (Omicron)		Denvir et al B				
USA/MN-CDC-IBX543524727008/2022	2/10/22		1.27	202206	Older	BA.1.1	USA	North America	Minnesota	BA.1.1	Homo sapiens	OM781880	28	21K (Omicron)		Howard et al DS		CDC-OAMD	Infinity Biologix	
USA/ND-CDC-MMB14141948/2022	2/3/22		1.32	202205	Older	BA.1.1	USA	North America	North Dakota	BA.1.1	Homo sapiens	OM769264	28	21K (Omicron)		Howard et al DT		CDC-OAMD	Mako Medical	
USA/WY-CDC-ASC210734559/2022	3/11/22		1.29	202210	Older	BA.1.1	USA	North America	Wyoming	BA.1.1	Homo sapiens	ON078579	28	21K (Omicron)	0	Howard et al DU		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/MT-CDC-MMB14498379/2022	2/22/22		1.3	202208	Older	BA.1.1	USA	North America	Montana	BA.1.1	Homo sapiens	ON017885	28	21K (Omicron)		Howard et al DV		CDC-OAMD	Mako Medical	
USA/2072641/2022	3/23/22		1.24	202212	One month ago	BA.1.1	USA	North America	Iowa	BA.1.1	Homo sapiens	ON239659	26	21K (Omicron)	0	Reeb et al D		State Hygienic Laboratory at the University of Iowa	University of Iowa Hospitals and Clinics	-3.63
USA/CA-CDC-FG-247305/2022	1/23/22		1.3	202204	Older	BA.1.1	USA	North America	California	BA.1.1	Homo sapiens	OM464072	28	21K (Omicron)		Howard et al DW		CDC-OAMD	Fulgent Genetics	
USA/GA-GPHL-1163/2022	2/4/22		1.3	202205	Older	BA.1.1	USA	North America	Georgia	BA.1.1	Homo sapiens	OM906990	28	21K (Omicron)		Parrott et al A				
USA/OH-CDC-MMB14804134/2022	3/21/22		1.3	202212	One month ago	BA.1.1	USA	North America	Ohio	BA.1.1	Homo sapiens	ON242552	28	21K (Omicron)	0	Howard et al DX		CDC-OAMD	Mako Medical	-3.63
USA/VA-CDC-QDX34633775/2022	3/8/22		1.32	202210	Older	BA.1.1	USA	North America	Virginia	BA.1.1	Homo sapiens	ON035459	29	21K (Omicron)	0	Howard et al DY		CDC-OAMD	Quest Diagnostics Incorporated	-3.63
USA/LA-CDC-QDX36018837/2022	4/16/22		1.32	202215	3-7 days ago	BA.1.1	USA	North America	Louisiana	BA.1.1	Homo sapiens	ON418496	28	21K (Omicron)	0.04	Howard et al DZ		CDC-OAMD	Quest Diagnostics Incorporated	-3.63
USA/MS-MSPHL-0796/2022	4/7/22		1.26	202214	One month ago	BA.1.1	USA	North America	Mississippi	BA.1.1	Homo sapiens	ON305011	26	21K (Omicron)	0.01	Karolewicz et al B		Mississippi Public Health Lab	MS PHL	-3.63
USA/CA-CDC-ASC210540111/2022	1/21/22		1.3	202203	Older	BA.1.1	USA	North America	California	BA.1.1	Homo sapiens	OM567018	28	21K (Omicron)		Howard et al EA		CDC-OAMD	Aegis Sciences Corporation	
USA/FL-CDC-STM-U7UE4EUVS/2022	1/29/22		1.3	202204	Older	BA.1.1	USA	North America	Florida	BA.1.1	Homo sapiens	OM664802	28	21K (Omicron)		Howard et al EB		CDC-OAMD	'Helix'	
USA/MO-CDC-QDX33832334/2022	2/12/22		1.3	202206	Older	BA.1.1	USA	North America	Missouri	BA.1.1	Homo sapiens	OM831906	28	21K (Omicron)		Howard et al EC		CDC-OAMD	Quest Diagnostics Incorporated	
USA/MI-CDC-STM-X4GWKFZXR/2022	4/8/22		1.3	202214	One month ago		USA	North America	Michigan	BA.1.1	Homo sapiens	ON347183	28	21K (Omicron)	0.02	Howard et al ED		CDC-OAMD	'Helix'	-3.63
USA/NV-CDC-FG-261862/2022	1/27/22		1.3	202204	Older	BA.1.1	USA	North America	Nevada	BA.1.1	Homo sapiens	OM650995	28	21K (Omicron)		Howard et al EE		CDC-OAMD	Fulgent Genetics	
USA/AL-CDC-ASC210754029/2022	2/27/22		1.3	202209	Older	BA.1.1	USA	North America	Alabama	BA.1.1	Homo sapiens	OM948303	28	21K (Omicron)	0	Howard et al EF		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/ME-CDC-ASC210754783/2022	3/1/22		1.3	202209	Older	BA.1.1	USA	North America	Maine	BA.1.1	Homo sapiens	OM969463	28	21K (Omicron)	0	Howard et al EG		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/IN-CDC-ASC210757686/2022	3/8/22		1.3	202210	Older	BA.1.1	USA	North America	Indiana	BA.1.1	Homo sapiens	ON019732	28	21K (Omicron)	0	Howard et al EH		CDC-OAMD	Aegis Sciences Corporation	-3.63
USA/IN-CDC-LC0128358/2021	7/18/21		0.48	202129	Older	B.1.621	USA	North America	Indiana		Homo sapiens	OK112375	8	20A		Howard et al EI				
USA/AK-PHL10848/2021	7/26/21		0.56	202130	Older	B.1.621	USA	North America	Alaska		Homo sapiens	MZ813041	8	21H (Mu)		DeRonde et al E				
USA/CMI-IGM-021/2021	8/13/21		0.58	202132	Older	B.1.621	USA	North America	Ohio		Homo sapiens	OL869035	8	21H (Mu)		Wilson et al				
USA/TG668374/2020	5/14/20		0	202020	Older	B.1	USA	North America	Arizona		Homo sapiens	MZ906636	1	20A		Bowers et al C		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories	
USA/IL-UW-987/2020	7/16/20		0.01	202029	Older	B.1.162	USA	North America	Illinois		Homo sapiens	MT846673	1	20A		Moreno et al E				
USA/CO-UW-739/2020	6/29/20		0	202027	Older	B.1.112	USA	North America	Colorado		Homo sapiens	MT772510	1	20A		Moreno et al F				
USA/SC_3371_T56/2020	10/25/20		0	202044	Older	B.1.436	USA	North America	South Carolina		Homo sapiens	MW480014	1	20A		Arnold et al M				
USA/ND-CDC-2-4069014/2020	12/29/20		0.04	202053	Older	B.1.436	USA	North America	North Dakota		Homo sapiens	MW708903	1	20A		Queen et al D				
USA/DC-DFS-PHL-0078/2020	6/16/20		0.01	202025	Older	B.1.110.3	USA	North America	Washington DC		Homo sapiens	MZ487675	1	20A		Nguyen et al B				
USA/NC-SLPH-0023/2020	11/24/20		0.03	202048	Older	B.1.110.3	USA	North America	North Carolina		Homo sapiens	MW642255	2	20A		Chase et al B				
USA/NMDOH-2020189581/2020	7/7/20		0	202028	Older	B.1.366	USA	North America	New Mexico		Homo sapiens	MW070052	2	20C		Johnson et al B		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
USA/FL-QDX-1707/2020	3/17/20		-0.03	202012	Older	B.1	USA	North America	Florida		Homo sapiens	MW190457	1	20C		Rosenthal et al G		Quest Diagnostics	Quest Diagnostics	
USA/AR-UAMS001/2020	4/1/20		-0.03	202014	Older	B.1.319	USA	North America	Arkansas		Homo sapiens	MT766907	1	20C		Jenjaroenpun et al B				
USA/TG969465/2020	8/29/20		-0.04	202035	Older	B.1.369	USA	North America	Arizona		Homo sapiens	OK466179	1	20C		Bowers et al D		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories - Phoenix	
USA/MN-MDH-1565/2020	8/14/20		-0.03	202033	Older	B.1.369	USA	North America	Minnesota		Homo sapiens	MT958262	1	20C		Plumb et al A				
USA/NC-SLPH-0043/2020	9/18/20		0	202038	Older	B.1.369	USA	North America	North Carolina		Homo sapiens	MW646600	3	20C		Chase et al C				
USA/NE-Noblis-S04B03/2020	9/30/20		-0.01	202040	Older	B.1.369	USA	North America	Nebraska		Homo sapiens	MZ267338	1	20C		Brinkac et al A		Noblis		
USA/WA-S4072/2021	1/18/21		-0.01	202103	Older	B.1.369	USA	North America	Washington		Homo sapiens	MW555947	1	20C		Nickerson et al E		Seattle Flu Study submission group	Altius Institute	
USA/ND-NDDH-0024/2020	3/27/20		-0.03	202013	Older	B.1	USA	North America	North Dakota		Homo sapiens	MW685449	1	20C		Wingerter et al A				
USA/FL-BPHL-1504/2020	7/23/20		-0.04	202030	Older	B.1.509	USA	North America	Florida		Homo sapiens	MW056151	1	20C		Schmedes et al B		FLDOH	Florida Bureau of Public Health Laboratories	
USA/KS-CDC-LC0002426/2021	1/2/21		0.03	202053	Older	B.1.509	USA	North America	Kansas		Homo sapiens	MW635111	2	20C		Cook et al G				
USA/WV118926/2020	4/10/20		-0.04	202015	Older	B.1	USA	North America	West Virginia		Homo sapiens	MZ498099	1	20C		Denvir et al C				
USA/CT-Yale-333/2020	5/12/20		-0.04	202020	Older	B.1	USA	North America	Connecticut		Homo sapiens	MT886446	1	20C		Fauver et al		Yale School of Public Health	Yale COVID-19 Biorepository	
USA/WA-S2863/2020	9/18/20		-0.04	202038	Older	B.1.500	USA	North America	Washington		Homo sapiens	MW173406	1	20C		Nickerson et al F		Seattle Flu Study submission group	Seattle Flu Study	
USA/MS-BIE-CAT00302/2020	4/8/20		-0.02	202015	Older	B.1	USA	North America	Mississippi		Homo sapiens	OL589102	1	20C		Feehan et al A				
USA/KS-BIE-CAT00283/2020	4/8/20		-0.02	202015	Older	B.1.450	USA	North America	Kansas		Homo sapiens	OL589091	1	20C		Feehan et al B				
USA/SC-COVID21-0718/2021	2/27/21		0.03	202108	Older	B.1.336	USA	North America	South Carolina		Homo sapiens	MW768052	1	20C		Flores et al A				
USA/MS-QDX-3493/2020	9/9/20		-0.02	202037	Older	B.1.265	USA	North America	Mississippi		Homo sapiens	MW521732	1	20C		Rosenthal et al H				
USA/AR-CDC-2-3693765/2020	10/26/20		-0.02	202044	Older	B.1.265	USA	North America	Arkansas		Homo sapiens	MW406516	1	20C		Queen et al F				
USA/WV118930/2020	10/14/20		0	202042	Older	B.1.265	USA	North America	West Virginia		Homo sapiens	MZ498101	1	20C		Denvir et al D				
USA/TN-QDX-246/2020	4/28/20		-0.01	202018	Older	B.1	USA	North America	Tennessee		Homo sapiens	MT806798	1	20C		Rosenthal et al I				
USA/SD-SDPHL-0361/2020	3/13/20		-0.02	202011	Older	B.1	USA	North America	South Dakota		Homo sapiens	MZ346437	1	20C		Carlson et al B		South Dakota Department of Health	South Dakota Public Health Laboratory	
USA/ID-UW-6455/2020	4/2/20		-0.02	202014	Older	B.1	USA	North America	Idaho		Homo sapiens	MT461633	2	20C		Roychoudhury et al K				
USA/GA-EHC-284Z/2020	5/14/20		0.02	202020	Older	B.1	USA	North America	Georgia		Homo sapiens	MZ313059	1	20C		Piantadosi et al A				
USA/MS-USAFSAM-S025/2020	3/30/20		-0.01	202014	Older	B.1.595	USA	North America	Mississippi		Homo sapiens	MT873891	1	20C		Fries et al A		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	
USA/SEARCH-0852-NBG/2020	5/14/20		0	202020	Older	B.1.595	USA	North America	Louisiana		Homo sapiens	MT811755	2	20C		Smither et al		The Scripps Research Institute	UC San Diego Center for Advanced Laboratory Medicine	
USA/PR-CDC-LC0000631/2020	12/24/20		0.07	202052	Older	B.1.588	USA	North America	Puerto Rico		Homo sapiens	MW634288	2	20C		Cook et al H				
USA/VI-CDC-2-4122440/2021	2/19/21		0.05	202107	Older	B.1.588	USA	North America	Virgin Islands		Homo sapiens	MZ780075	2	20C		Sheth et al L				
USA/DC-DFS-PHL-0076/2020	5/16/20		-0.01	202020	Older	B.1.595.1	USA	North America	Washington DC		Homo sapiens	MZ488074	1	20C		Nguyen et al C				
USA/TG920848/2020	10/30/20		-0.02	202044	Older	B.1.595	USA	North America	Arizona		Homo sapiens	MZ917484	1	20C		Bowers et al E		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories - Phoenix	
USA/CT-UW-510/2020	6/8/20		0.02	202024	Older	B.1.595	USA	North America	Connecticut		Homo sapiens	MT750092	1	20C		Moreno et al G				
USA/IL-UW-600/2020	6/25/20		-0.01	202026	Older	B.1.595	USA	North America	Illinois		Homo sapiens	MT750178	1	20C		Moreno et al H				
USA/IN-CDC-STM-A100376/2021	1/5/21		0.08	202101	Older	B.1.596	USA	North America	Indiana		Homo sapiens	MW523806	3	20G		Cook et al I				
USA/NV-QDX-3543/2020	10/13/20		0.05	202042	Older	B.1.2	USA	North America	Nevada		Homo sapiens	MW521749	1	20G		Rosenthal et al J				
ON110373	9/22/20		0.06	202039	Older	B.1.2	USA	North America	Idaho			ON110373	1	20G		Ammons et al				
USA/40639/2020	7/9/20		0.06	202028	Older	B.1.2	USA	North America	Idaho		Homo sapiens	OM315426	1	20G		Beukelman et al A				
USA/42563/2020	7/9/20		0.07	202028	Older	B.1.2	USA	North America	Idaho		Homo sapiens	OM316380	1	20G		Beukelman et al B				
USA/OSPHL01508/2020	8/7/20		0.06	202032	Older	B.1.2	USA	North America	Oregon		Homo sapiens	MZ682263	1	20G		Razzaque et al B				
USA/WA-S2883/2020	9/28/20		0.06	202040	Older	B.1.2	USA	North America	Washington		Homo sapiens	MW173439	1	20G		Nickerson et al G		Seattle Flu Study submission group	Seattle Flu Study	
USA/WA-S2961/2020	9/3/20		0.07	202036	Older	B.1.2	USA	North America	Washington		Homo sapiens	MW474137	1	20G		Nickerson et al H		Seattle Flu Study submission group	Washington State Department of Health	
USA/NV-CDC-2-4058081/2020	12/30/20		0.06	202053	Older	B.1.2	USA	North America	Nevada		Homo sapiens	MW850152	1	20G		Sheth et al M				
USA/WV064994/2021	1/13/21		0.1	202102	Older	B.1.2	USA	North America	West Virginia		Homo sapiens	MZ498075	1	20G		Denvir et al E				
